sample_name	shotgun_woltka_reads
12201.stool.human.G.2.homebrew.H	514122.0
12201.tissue.mouse.P.1.norgen.H	510424.0
12201.skin.armpit.C.1.microbiome.L	503292.0
12201.oral.human.B.2.homebrew.H	503119.0
12201.mock.community.d3.magmax.H	501118.0
12201.stool.human.B.2.homebrew.H	499688.0
12201.oral.human.F.2.magmax.H	499130.0
12201.stool.human.I.2.magmax.H	491123.0
12201.food.kimchi.1.1.homebrew.H	489432.0
12201.stool.human.A.3.standard.H	488942.0
12201.oral.human.L.2.powersoil.H	482530.0
12201.stool.human.H.1.magmax.H	479818.0
12201.stool.human.H.3.homebrew.H	478439.0
12201.stool.human.G.3.standard.H	469048.0
12201.stool.human.G.1.homebrew.H	467833.0
12201.s.lf.A.1.homebrew.L	466586.0
12201.oral.human.E.3.homebrew.H	465758.0
12201.stool.cat.M.3.norgen.H	464204.0
12201.stool.human.H.1.homebrew.H	463177.0
12201.stool.human.B.1.magmax.H	460189.0
12201.stool.human.H.2.pro.H	458994.0
12201.stool.cat.L.2.standard.H	458552.0
12201.tissue.mouse.P.2.norgen.H	458295.0
12201.oral.human.F.2.homebrew.H	454193.0
12201.stool.human.B.2.standard.H	448422.0
12201.oral.human.D.1.nucleomag.H	446081.0
12201.stool.human.G.2.magmax.H	444136.0
12201.mock.community.d3.nucleomag.H	435257.0
12201.s.lf.C.1.homebrew.L	435154.0
12201.stool.human.G.3.magmax.H	434851.0
12201.stool.cat.M.3.homebrew.H	434742.0
12201.oral.human.K.3.zymoMA.H	430732.0
12201.stool.cat.M.1.standard.H	428585.0
12201.oral.human.B.3.nucleomag.H	425438.0
12201.food.kimchi.1.1.pro.H	425429.0
12201.stool.human.G.2.standard.H	418941.0
12201.stool.cat.N.3.homebrew.H	416466.0
12201.oral.human.A.1.homebrew.H	412994.0
12201.stool.cat.M.2.standard.H	410585.0
12201.stool.cat.L.3.pro.H	408532.0
12201.mc.d1.1.magmax.L	408529.0
12201.stool.human.B.1.standard.H	407792.0
12201.mc.d3.3.homebrew.L	404055.0
12201.tissue.mouse.P.2.magmax.H	401747.0
12201.oral.human.D.2.homebrew.H	401414.0
12201.urine.female.F.2.microbiome.L	397489.0
12201.food.kimchi.1.2.pro.H	397422.0
12201.stool.cat.M.2.homebrew.H	395666.0
12201.stool.human.A.2.pro.H	391835.0
12201.oral.human.L.3.powersoil.H	391403.0
12201.stool.cat.N.3.pro.H	390246.0
12201.oral.human.B.2.nucleomag.H	388773.0
12201.stool.human.I.1.magmax.H	388768.0
12201.tissue.mouse.Q.3.zymoMA.H	388613.0
12201.oral.human.A.1.magmax.H	387636.0
12201.oral.human.K.1.nucleomag.H	382976.0
12201.food.yogurt.1.2.standard.H	381578.0
12201.oral.human.F.3.magmax.H	379869.0
12201.mock.community.d1.pro.H	378658.0
12201.stool.human.A.2.standard.H	376153.0
12201.stool.mouse.K.3.pro.H	375920.0
12201.oral.human.F.3.homebrew.H	374850.0
12201.stool.cat.L.1.standard.H	371940.0
12201.stool.human.A.2.homebrew.H	371718.0
12201.s.lf.A.1.pro.L	368023.0
12201.oral.human.B.1.pro.H	367645.0
12201.stool.mouse.J.2.homebrew.H	367260.0
12201.stool.human.A.3.homebrew.H	366447.0
12201.oral.human.E.1.homebrew.H	365111.0
12201.stool.human.I.1.pro.H	364345.0
12201.s.lf.A.3.magmax.L	363077.0
12201.stool.cat.N.3.standard.H	360698.0
12201.oral.human.D.3.homebrew.H	358691.0
12201.food.kimchi.1.3.pro.H	358450.0
12201.mock.community.d3.2.zymoMA.L	357319.0
12201.stool.human.I.2.pro.H	356038.0
12201.tissue.mouse.P.3.magmax.H	355277.0
12201.stool.mouse.J.1.pro.H	354706.0
12201.s.lf.A.2.magmax.L	349427.0
12201.oral.human.A.2.pro.H	347792.0
12201.mock.community.d1.homebrew.H	344670.0
12201.mock.community.d3.3.nucleomag.L	340140.0
12201.stool.cat.N.2.homebrew.H	339214.0
12201.oral.human.B.3.magmax.H	338580.0
12201.oral.human.K.1.zymoMA.H	334928.0
12201.stool.human.J.1.1.zymoMA.H	333409.0
12201.oral.human.B.2.pro.H	333222.0
12201.stool.cat.M.3.magmax.H	331076.0
12201.oral.human.F.1.homebrew.H	329937.0
12201.stool.human.I.3.magmax.H	321991.0
12201.stool.human.I.2.standard.H	316586.0
12201.urine.female.F.1.powersoil.L	307420.0
12201.mock.community.d3.2.powersoil.L	305466.0
12201.tissue.mouse.Q.3.nucleomag.H	303235.0
12201.oral.human.B.1.nucleomag.H	303193.0
12201.stool.mouse.J.3.homebrew.H	301782.0
12201.urine.female.F.2.nucleomag.L	301454.0
12201.food.kimchi.1.3.standard.H	301440.0
12201.food.yogurt.2.2.standard.H	300650.0
12201.oral.human.B.1.magmax.H	298536.0
12201.skin.foot.A.2.zymoMA.L	296856.0
12201.oral.human.A.3.magmax.H	295188.0
12201.stool.mouse.K.2.pro.H	293624.0
12201.oral.human.K.3.powersoil.H	291355.0
12201.food.kimchi.2.2.pro.H	290603.0
12201.food.yogurt.1.3.standard.H	290046.0
12201.mc.d1.3.standard.L	288447.0
12201.mock.community.d1.standard.H	287893.0
12201.food.kimchi.2.1.pro.H	287106.0
12201.tissue.mouse.R.2.nucleomag.H	286352.0
12201.food.kimchi.1.2.standard.H	283405.0
12201.food.kimchi.2.3.pro.H	283096.0
12201.stool.cat.M.3.standard.H	282330.0
12201.food.kimchi.1.3.homebrew.H	281895.0
12201.urine.female.F.1.nucleomag.L	276112.0
12201.skin.foot.A.3.nucleomag.L	275475.0
12201.food.kimchi.2.1.homebrew.H	275191.0
12201.mock.community.d2.homebrew.H	274499.0
12201.s.lf.A.3.homebrew.L	274074.0
12201.mc.d1.2.magmax.L	270580.0
12201.oral.human.L.2.nucleomag.H	268704.0
12201.oral.human.K.3.microbiome.H	267380.0
12201.stool.mouse.J.3.pro.H	267296.0
12201.urine.female.F.2.powersoil.L	266359.0
12201.oral.human.K.2.microbiome.H	265631.0
12201.tissue.mouse.R.3.nucleomag.H	264034.0
12201.oral.human.B.3.pro.H	263052.0
12201.food.kimchi.1.1.standard.H	261958.0
12201.s.la.C.3.homebrew.L	260949.0
12201.food.kimchi.2.2.standard.H	260514.0
12201.oral.human.A.1.pro.H	256412.0
12201.urine.female.F.3.microbiome.L	255248.0
12201.tissue.mouse.Q.1.zymoMA.H	254083.0
12201.stool.mouse.J.1.magmax.H	250845.0
12201.BLANK.C4.magmax.H	249857.0
12201.uriF.F.1.homebrew.L	248954.0
12201.mc.d1.1.standard.L	248677.0
12201.stool.cat.L.1.homebrew.H	244871.0
12201.stool.mouse.J.2.pro.H	244511.0
12201.stool.cat.N.2.standard.H	244382.0
12201.food.kimchi.2.3.standard.H	242945.0
12201.oral.human.A.2.magmax.H	242343.0
12201.skin.foot.B.2.microbiome.L	240862.0
12201.stool.human.I.3.standard.H	240569.0
12201.food.kimchi.2.3.homebrew.H	237058.0
12201.stool.mouse.K.2.standard.H	235443.0
12201.stool.mouse.K.1.pro.H	233835.0
12201.oral.human.N.3.powersoil.H	233199.0
12201.oral.human.B.3.standard.H	231206.0
12201.food.yogurt.2.1.standard.H	230668.0
12201.stool.cat.M.2.pro.H	228923.0
12201.oral.human.D.1.zymoMA.H	228244.0
12201.food.kimchi.2.2.homebrew.H	228190.0
12201.stool.human.I.2.homebrew.H	222725.0
12201.oral.human.K.1.microbiome.H	221494.0
12201.oral.human.L.3.nucleomag.H	216425.0
12201.skin.foot.A.3.microbiome.L	212092.0
12201.stool.mouse.K.3.magmax.H	209580.0
12201.mc.d2.3.homebrew.L	205441.0
12201.stool.cat.N.1.homebrew.H	203672.0
12201.s.la.C.1.homebrew.L	201053.0
12201.mock.community.d4.3.zymoMA.L	200967.0
12201.food.kimchi.2.1.standard.H	200862.0
12201.oral.human.B.2.microbiome.H	200316.0
12201.oral.human.E.3.magmax.H	197503.0
12201.oral.human.C.3.homebrew.H	197343.0
12201.food.yogurt.2.3.standard.H	193858.0
12201.stool.cat.L.3.homebrew.H	190674.0
12201.stool.cat.N.1.pro.H	189366.0
12201.oral.human.B.2.magmax.H	188850.0
12201.oral.human.N.3.nucleomag.H	188013.0
12201.uriF.E.3.homebrew.L	187839.0
12201.oral.human.A.2.standard.H	187722.0
