sample1	sample2	value	sample1_type	sample1_extraction_kit_round	sample2_type	sample2_extraction_kit_round	sample_type	sample_type_2	biomass_plate
12201.food.yogurt.1.3.norgen.H	12201.food.yogurt.1.2.norgen.H	0.4993669532257882	yogurt_container_1	Norgen	yogurt_container_1	Norgen	food	yogurt	high
12201.stool.cat.N.1.norgen.H	12201.stool.cat.N.3.norgen.H	0.27527432993615464	cat.feces.N	Norgen	cat.feces.N	Norgen	stool	cat feces	high
12201.stool.cat.N.1.norgen.H	12201.stool.cat.N.2.norgen.H	0.26646393610954155	cat.feces.N	Norgen	cat.feces.N	Norgen	stool	cat feces	high
12201.oral.human.B.1.norgen.H	12201.oral.human.B.2.norgen.H	0.24506566409346905	human.saliva.B	Norgen	human.saliva.B	Norgen	oral	human saliva	high
12201.stool.cat.L.2.norgen.H	12201.stool.cat.L.1.norgen.H	0.22840547265474356	cat.feces.L	Norgen	cat.feces.L	Norgen	stool	cat feces	high
12201.stool.cat.L.2.norgen.H	12201.stool.cat.L.3.norgen.H	0.13635322033247455	cat.feces.L	Norgen	cat.feces.L	Norgen	stool	cat feces	high
12201.food.kimchi.1.3.norgen.H	12201.food.kimchi.1.1.norgen.H	0.45774058858317196	kimchi_container_1	Norgen	kimchi_container_1	Norgen	food	kimchi	high
12201.oral.human.A.2.norgen.H	12201.oral.human.A.3.norgen.H	0.19860540920300745	human.saliva.A	Norgen	human.saliva.A	Norgen	oral	human saliva	high
12201.oral.human.A.2.norgen.H	12201.oral.human.A.1.norgen.H	0.2506660790046699	human.saliva.A	Norgen	human.saliva.A	Norgen	oral	human saliva	high
12201.food.kimchi.2.1.norgen.H	12201.food.kimchi.2.3.norgen.H	0.3490619098091241	kimchi_container_2	Norgen	kimchi_container_2	Norgen	food	kimchi	high
12201.food.kimchi.2.1.norgen.H	12201.food.kimchi.2.2.norgen.H	0.440508390467278	kimchi_container_2	Norgen	kimchi_container_2	Norgen	food	kimchi	high
12201.food.yogurt.1.1.norgen.H	12201.food.yogurt.1.2.norgen.H	0.2980269091233489	yogurt_container_1	Norgen	yogurt_container_1	Norgen	food	yogurt	high
12201.stool.mouse.J.3.norgen.H	12201.stool.mouse.J.2.norgen.H	0.22250088434753834	mouse.feces.J	Norgen	mouse.feces.J	Norgen	stool	mouse feces	high
12201.oral.human.C.3.norgen.H	12201.oral.human.C.1.norgen.H	0.15686526283454022	human.saliva.C	Norgen	human.saliva.C	Norgen	oral	human saliva	high
12201.stool.cat.N.3.norgen.H	12201.stool.cat.N.2.norgen.H	0.1968248244255206	cat.feces.N	Norgen	cat.feces.N	Norgen	stool	cat feces	high
12201.oral.human.E.2.norgen.H	12201.oral.human.E.3.norgen.H	0.29203168795207624	human.saliva.E	Norgen	human.saliva.E	Norgen	oral	human saliva	high
12201.oral.human.E.2.norgen.H	12201.oral.human.E.1.norgen.H	0.16593295368309968	human.saliva.E	Norgen	human.saliva.E	Norgen	oral	human saliva	high
12201.stool.human.I.3.norgen.H	12201.stool.human.I.2.norgen.H	0.16103268831178905	human.feces.I	Norgen	human.feces.I	Norgen	stool	human feces	high
12201.stool.human.A.2.norgen.H	12201.stool.human.A.3.norgen.H	0.2624001210218991	human.feces.A	Norgen	human.feces.A	Norgen	stool	human feces	high
12201.oral.human.E.3.norgen.H	12201.oral.human.E.1.norgen.H	0.2823527309282764	human.saliva.E	Norgen	human.saliva.E	Norgen	oral	human saliva	high
12201.stool.cat.M.3.norgen.H	12201.stool.cat.M.2.norgen.H	0.1864347128988954	cat.feces.M	Norgen	cat.feces.M	Norgen	stool	cat feces	high
12201.stool.human.B.2.norgen.H	12201.stool.human.B.3.norgen.H	0.2560937386455364	human.feces.B	Norgen	human.feces.B	Norgen	stool	human feces	high
12201.food.kimchi.2.3.norgen.H	12201.food.kimchi.2.2.norgen.H	0.3884616813606014	kimchi_container_2	Norgen	kimchi_container_2	Norgen	food	kimchi	high
12201.oral.human.A.3.norgen.H	12201.oral.human.A.1.norgen.H	0.21750662797214906	human.saliva.A	Norgen	human.saliva.A	Norgen	oral	human saliva	high
12201.stool.cat.L.1.norgen.H	12201.stool.cat.L.3.norgen.H	0.23927949940177373	cat.feces.L	Norgen	cat.feces.L	Norgen	stool	cat feces	high
12201.soil.bare.L.2.norgen.H	12201.soil.bare.L.1.norgen.H	0.46607629427178043	bare soil site 3	Norgen	bare soil site 3	Norgen	soil	bare soil	high
12201.food.yogurt.1.3.pro.H	12201.food.yogurt.1.2.pro.H	0.49411770904519237	yogurt_container_1	PowerSoil Pro	yogurt_container_1	PowerSoil Pro	food	yogurt	high
12201.food.yogurt.1.3.pro.H	12201.food.yogurt.1.1.pro.H	0.7152979913311011	yogurt_container_1	PowerSoil Pro	yogurt_container_1	PowerSoil Pro	food	yogurt	high
12201.food.yogurt.2.2.pro.H	12201.food.yogurt.2.3.pro.H	0.5293419357542649	yogurt_container_2	PowerSoil Pro	yogurt_container_2	PowerSoil Pro	food	yogurt	high
12201.food.yogurt.2.2.pro.H	12201.food.yogurt.2.1.pro.H	0.5606545153752969	yogurt_container_2	PowerSoil Pro	yogurt_container_2	PowerSoil Pro	food	yogurt	high
12201.oral.human.E.3.pro.H	12201.oral.human.E.1.pro.H	0.2606827644567671	human.saliva.E	PowerSoil Pro	human.saliva.E	PowerSoil Pro	oral	human saliva	high
12201.oral.human.E.3.pro.H	12201.oral.human.E.2.pro.H	0.21307900986668066	human.saliva.E	PowerSoil Pro	human.saliva.E	PowerSoil Pro	oral	human saliva	high
12201.oral.human.A.2.pro.H	12201.oral.human.A.3.pro.H	0.1945425701513468	human.saliva.A	PowerSoil Pro	human.saliva.A	PowerSoil Pro	oral	human saliva	high
12201.oral.human.A.2.pro.H	12201.oral.human.A.1.pro.H	0.539275911514494	human.saliva.A	PowerSoil Pro	human.saliva.A	PowerSoil Pro	oral	human saliva	high
12201.oral.human.B.2.pro.H	12201.oral.human.B.1.pro.H	0.3002123874767033	human.saliva.B	PowerSoil Pro	human.saliva.B	PowerSoil Pro	oral	human saliva	high
12201.oral.human.B.2.pro.H	12201.oral.human.B.3.pro.H	0.3271542691223494	human.saliva.B	PowerSoil Pro	human.saliva.B	PowerSoil Pro	oral	human saliva	high
12201.soil.bare.J.3.pro.H	12201.soil.bare.J.2.pro.H	0.36173329513048025	bare soil site 1	PowerSoil Pro	bare soil site 1	PowerSoil Pro	soil	bare soil	high
12201.soil.bare.J.3.pro.H	12201.soil.bare.J.1.pro.H	0.34145004694650993	bare soil site 1	PowerSoil Pro	bare soil site 1	PowerSoil Pro	soil	bare soil	high
12201.food.kimchi.1.3.pro.H	12201.food.kimchi.1.1.pro.H	0.41487615567323805	kimchi_container_1	PowerSoil Pro	kimchi_container_1	PowerSoil Pro	food	kimchi	high
12201.food.kimchi.1.3.pro.H	12201.food.kimchi.1.2.pro.H	0.3389712574908031	kimchi_container_1	PowerSoil Pro	kimchi_container_1	PowerSoil Pro	food	kimchi	high
12201.food.yogurt.1.2.pro.H	12201.food.yogurt.1.1.pro.H	0.6586768183875508	yogurt_container_1	PowerSoil Pro	yogurt_container_1	PowerSoil Pro	food	yogurt	high
